backend-fastapi-1  | INFO:     Started server process [1]
backend-fastapi-1  | INFO:     172.18.0.5:40088 - "GET /translate-text?text=%E7%A9%86%E6%96%AF%E6%9E%97%E8%B6%85%E5%AE%8C%E7%BE%8E%EF%BC%8C%E5%8F%AA%E5%B7%AE%E9%80%99%E4%B8%80%E9%BB%9E&source=zh&target=en HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:40090 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:44382 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:44730 - "GET /tts?text=%E6%98%A8%E5%A4%A9 HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:44730 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:54134 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
backend-fastapi-1  | Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 11520.59it/s]
backend-fastapi-1  | INFO:     172.18.0.5:58842 - "POST /quiz/generate HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:49444 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:39828 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:57154 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:54120 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:56678 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:56988 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:33434 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:39274 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:43008 - "GET /docs HTTP/1.1" 200 OK
